corp_code,corp_name,stock_code,report_nm,rcept_no,rcept_dt,time,호재성
1152586,유일로보틱스,388720,사업보고서 (2022.12),2.02303E+13,20230322,16:40,TRUE
1494154,지니너스,389030,[기재정정]사업보고서 (2022.12),2.02303E+13,20230328,16:45,FALSE
1494154,지니너스,389030,사업보고서 (2022.12),2.02303E+13,20230322,17:53,FALSE
1513699,포바이포,389140,사업보고서 (2022.12),2.02303E+13,20230322,17:34,TRUE
1150515,대명에너지,389260,[기재정정]사업보고서 (2022.12),2.02307E+13,20230720,16:39,TRUE
1150515,대명에너지,389260,사업보고서 (2022.12),2.02303E+13,20230323,17:36,TRUE
1516456,인벤티지랩,389470,사업보고서 (2022.12),2.02303E+13,20230322,17:19,FALSE
567897,에스비비테크,389500,[기재정정]사업보고서 (2022.12),2.02305E+13,20230515,14:28,TRUE
567897,에스비비테크,389500,사업보고서 (2022.12),2.02303E+13,20230324,07:47,TRUE
1291317,더블유씨피,393890,사업보고서 (2022.12),2.02303E+13,20230320,17:20,TRUE
1571107,오픈엣지테크놀로지,394280,사업보고서 (2022.12),2.02303E+13,20230323,16:27,FALSE
1515864,넥스트칩,396270,사업보고서 (2022.12),2.02303E+13,20230321,16:27,FALSE
534701,세아메카닉스,396300,사업보고서 (2022.12),2.02303E+13,20230321,14:19,FALSE
1375822,에이프릴바이오,397030,사업보고서 (2022.12),2.02303E+13,20230317,16:15,TRUE
1364747,가온칩스,399720,사업보고서 (2022.12),2.02303E+13,20230321,17:20,TRUE
601988,코난테크놀로지,402030,사업보고서 (2022.12),2.02303E+13,20230323,13:06,FALSE
1575839,플라즈맵,405000,사업보고서 (2022.12),2.02303E+13,20230323,16:03,FALSE
1033591,큐알티,405100,사업보고서 (2022.12),2.02303E+13,20230323,15:38,FALSE
1593242,하나금융21호스팩,406760,[기재정정]사업보고서 (2022.12),2.02303E+13,20230331,10:19,TRUE
1593242,하나금융21호스팩,406760,사업보고서 (2022.12),2.02302E+13,20230227,17:53,TRUE
1573381,레이저쎌,412350,사업보고서 (2022.12),2.02303E+13,20230322,14:58,TRUE
1584934,핑거스토리,417180,사업보고서 (2022.12),2.02303E+13,20230316,16:52,FALSE
1367586,제이아이테크,417500,[기재정정]사업보고서 (2022.12),2.02303E+13,20230327,,FALSE
